<<<<<<< HEAD
,Residencial_KWh,Industrial_KWh,Comercial_KWh,Total_Demanda_KWh,Solar_KWh,Eolica_KWh,Temperatura,Dia_da_Semana,Fim_de_Semana
2024-01-01 00:00:00,82.93218407697458,506.9193467291437,0.0,572.1046318526775,38.652501716198245,0.0,12.332274877415148,0,False
2024-01-01 01:00:00,83.57467561989976,478.8634472070843,16.422361112492773,578.8604839394768,14.08294437451769,123.89100840360494,15.332274877415148,0,False
2024-01-01 02:00:00,92.5213780688448,558.7443781717941,11.992141718491386,663.2578979591303,0.0,105.82119946721642,10.332274877415148,0,False
2024-01-01 03:00:00,116.77738432837793,428.4946470860721,0.0,512.4561115321363,0.0,0.0,7.3322748774151485,0,False
2024-01-01 04:00:00,117.22394980399594,365.412505824924,0.0,450.1644315390784,0.0,196.69226055370387,24.33227487741515,0,False
2024-01-01 05:00:00,111.98965575848959,220.8413755600057,37.071467076239756,369.90249839473506,0.0,0.0,8.332274877415148,0,False
2024-01-01 06:00:00,110.10906057828205,239.53821695207188,0.0,339.8608045223638,42.174317537991826,91.99254619979612,22.33227487741515,0,False
2024-01-01 07:00:00,115.8874521332648,181.8672211885755,5.793986008838933,303.54865933067924,521.1700862556148,74.84019605593801,1.3322748774151485,0,False
2024-01-01 08:00:00,134.15779688888884,72.30981698935918,107.67620103536551,314.14381491361354,847.2071937999059,75.6572869358871,14.332274877415148,0,False
2024-01-01 09:00:00,95.21508846560917,166.65316403349726,193.4466878386879,455.3149403377944,918.6059669452042,104.93600052573424,17.33227487741515,0,False
2024-01-01 10:00:00,118.80297584198726,57.7954025041863,193.99254628902506,370.5909246351986,922.4907783777978,302.1756075251687,24.33227487741515,0,False
2024-01-01 11:00:00,87.28834232655424,0.0,225.75571566666997,246.36764454894217,550.6381759486336,0.0,22.33227487741515,0,False
2024-01-01 12:00:00,59.007325530722554,35.62247674815852,226.5063317513924,321.13613403027347,0.0,181.0717913989913,-1.6677251225848515,0,False
2024-01-01 13:00:00,66.61581593471517,64.30229203695117,241.31997169348602,372.2380796651524,0.0,75.93156674706044,2.3322748774151485,0,False
2024-01-01 14:00:00,42.981183277285474,9.027393578108104,257.7488875410863,309.75746439647986,0.0,248.55097916012056,19.33227487741515,0,False
2024-01-01 15:00:00,55.910228796836236,62.05786810507597,285.16394348006946,403.13204038198165,0.0,137.2339397253216,-0.6677251225848515,0,False
2024-01-01 16:00:00,23.336244301136684,115.13200195874019,231.11331006256134,369.58155632243825,0.0,19.12769342659997,0.3322748774151485,0,False
2024-01-01 17:00:00,23.977513346909706,144.87456721176494,229.4482604746586,398.30034103333327,0.0,0.0,11.332274877415148,0,False
2024-01-01 18:00:00,33.00212106960075,233.89925444515285,8.11889975505592,275.0202752698095,0.0,65.50687859893094,12.332274877415148,0,False
2024-01-01 19:00:00,12.199943303910953,366.2804623594725,0.0,369.85270936334496,52.17699732602833,160.7041727116182,21.33227487741515,0,False
2024-01-01 20:00:00,38.624843332501506,427.1510695269013,15.668492493267701,481.4444053526705,64.32100745434721,141.82269430962697,24.33227487741515,0,False
2024-01-01 21:00:00,16.40108779570256,513.739761439269,17.259232213454347,547.4000814484259,27.443575085135336,52.27460238037384,2.3322748774151485,0,False
2024-01-01 22:00:00,39.74460927153592,488.9845695477179,0.0,521.1432464265117,88.04577944262233,0.0,4.3322748774151485,0,False
2024-01-01 23:00:00,32.293155122189425,463.8093727076499,2.0151275625376717,498.117655392377,32.773682463595186,4.950832913771052,9.332274877415148,0,False
2024-01-02 00:00:00,54.12413260631401,454.3934029937777,0.0,490.69823085878704,0.0,0.0,4.388493172413693,1,False
2024-01-02 01:00:00,70.73511628381033,531.6651714224183,6.727548466137203,609.127836172366,3.527111315721529,265.1659320230608,16.388493172413693,1,False
2024-01-02 02:00:00,103.99763422884831,412.1413445987868,6.113463403670587,522.2524422313057,0.9765832766339235,63.19535547301677,-1.6115068275863074,1,False
2024-01-02 03:00:00,107.4389876994872,441.7003125966943,0.0,509.51580237668134,0.0,53.74060501084399,12.388493172413693,1,False
2024-01-02 04:00:00,108.17525571981585,375.2455056762016,7.487018754708334,490.90778015072584,0.0,291.069649257576,23.388493172413693,1,False
2024-01-02 05:00:00,133.49446340475058,370.4582580202974,5.551634364189299,509.5043557892373,12.562807691213326,103.55185389323157,21.388493172413693,1,False
2024-01-02 06:00:00,128.27479724118803,289.50324255794357,0.0,399.4267459865427,12.754452049783122,108.6398387074066,10.388493172413693,1,False
